bioguide_id,thomas_id,party
G000571,2122,Democrat
D000622,2123,Democrat
D000619,2126,Republican
B001286,2127,Democrat
W000813,2128,Republican
B001284,2129,Republican
B001282,2131,Republican
W000817,2182,Democrat
K000379,2172,Democrat
K000383,2185,Independent
K000380,2134,Democrat
W000812,2137,Republican
D000618,2138,Republican
H001067,2140,Republican
M001187,2142,Republican
H001065,2143,Republican
C001096,2144,Republican
F000463,2179,Republican
K000382,2145,Democrat
M001188,2148,Democrat
J000294,2149,Democrat
M001185,2150,Democrat
W000815,2152,Republican
B001281,2153,Democrat
J000295,2154,Republican
M001190,2156,Republican
P000605,2157,Republican
C001090,2159,Democrat
R000597,2160,Republican
C001098,2175,Republican
W000814,2161,Republican
C001091,2163,Democrat
W000816,2165,Republican
V000131,2166,Democrat
V000132,2167,Democrat
S001192,2168,Republican
K000384,2176,Democrat
K000381,2169,Democrat
H001064,2170,Democrat
P000607,2171,Democrat
K000385,2190,Democrat
S001195,2191,Republican
B001288,2194,Democrat
C001101,2196,Democrat
B001289,2197,Republican
N000188,2202,Democrat
A000370,2201,Democrat
P000609,2221,Republican
H001072,2223,Republican
W000821,2224,Republican
G000574,2226,Democrat
D000623,2227,Democrat
A000371,2229,Democrat
L000582,2230,Democrat
T000474,2231,Democrat
B001297,2233,Republican
C001103,2236,Republican
H001071,2237,Republican
L000583,2238,Republican
A000372,2239,Republican
B001295,2243,Republican
A000374,2244,Republican
G000577,2245,Republican
M001196,2246,Democrat
M001194,2248,Republican
D000624,2251,Democrat
L000581,2252,Democrat
E000294,2253,Republican
R000603,2256,Republican
W000822,2259,Democrat
Z000017,2261,Republican
R000602,2262,Democrat
S001196,2263,Republican
K000386,2264,Republican
B001296,2267,Democrat
R000601,2268,Republican
H001073,2269,Republican
B001291,2270,Republican
B001292,2272,Democrat
P000610,2274,Democrat
N000189,2275,Republican
G000576,2276,Republican
M001195,2277,Republican
R000600,2222,Republican
S001198,2290,Republican
P000612,2286,Republican
E000295,2283,Republican
T000476,2291,Republican
R000605,2288,Republican
W000819,2255,Republican
S001197,2289,Republican
K000388,2294,Republican
L000585,2295,Republican
D000626,2296,Republican
C001108,,Republican
E000296,,Democrat
H001075,,Democrat
K000393,,Republican
H001076,,Democrat
C001113,,Democrat
S001190,2124,Democrat
O000171,,Democrat
B001302,,Republican
K000389,,Democrat
P000613,,Democrat
C001112,,Democrat
B001300,,Democrat
C001110,,Democrat
B001303,,Democrat
G000578,,Republican
D000628,,Republican
R000609,,Republican
L000586,,Democrat
M001202,,Democrat
S001200,,Democrat
D000627,,Democrat
C001111,,Democrat
M001199,,Republican
R000607,,Republican
F000465,,Republican
K000391,,Democrat
B001299,,Republican
H001074,,Republican
M001198,,Republican
H001077,,Republican
J000299,,Republican
B001304,,Democrat
R000606,,Democrat
B001301,,Republican
M001201,,Republican
B001305,,Republican
B001298,,Republican
G000583,,Democrat
R000608,,Democrat
S001201,,Democrat
E000297,,Democrat
F000466,,Republican
S001199,,Republican
G000582,,Republican
K000392,,Republican
G000581,,Democrat
A000375,,Republican
M001200,,Democrat
J000298,,Democrat
G000579,,Republican
C001109,,Republican
E000298,,Republican
G000584,,Republican
N000190,,Republican
G000585,,Democrat
C001114,,Republican
J000300,,Democrat
S001203,,Democrat
H001079,,Republican
L000588,,Democrat
L000589,,Republican
C001115,,Republican
B001306,,Republican
H001082,,Republican
M001206,,Democrat
S001205,,Democrat
W000826,,Democrat
C001055,1693,Democrat
H001066,2147,Democrat
K000368,1907,Democrat
S001211,,Democrat
H001090,,Democrat
C001124,,Democrat
